time,flex,add,introt,ant,prox,lat
4.685,28.548,-3.330,-5.253,-4.109,-1.015,-2.653
4.695,28.528,-3.401,-5.294,-4.103,-1.025,-2.659
4.705,28.508,-3.473,-5.334,-4.096,-1.035,-2.665
4.715,28.488,-3.546,-5.374,-4.088,-1.045,-2.671
4.725,28.467,-3.618,-5.413,-4.080,-1.055,-2.677
4.735,28.446,-3.691,-5.452,-4.071,-1.066,-2.683
4.745,28.425,-3.764,-5.490,-4.061,-1.076,-2.689
4.755,28.403,-3.837,-5.528,-4.051,-1.087,-2.695
4.765,28.381,-3.911,-5.565,-4.040,-1.097,-2.701
4.775,28.358,-3.984,-5.602,-4.028,-1.108,-2.706
4.785,28.335,-4.058,-5.638,-4.015,-1.119,-2.712
4.795,28.312,-4.132,-5.674,-4.002,-1.130,-2.717
4.805,28.288,-4.206,-5.709,-3.989,-1.141,-2.722
4.815,28.264,-4.280,-5.744,-3.975,-1.152,-2.727
4.825,28.239,-4.355,-5.778,-3.960,-1.163,-2.732
4.835,28.214,-4.429,-5.812,-3.944,-1.175,-2.737
4.845,28.189,-4.503,-5.845,-3.929,-1.186,-2.741
4.855,28.163,-4.578,-5.878,-3.912,-1.198,-2.746
4.865,28.137,-4.652,-5.910,-3.896,-1.210,-2.750
4.875,28.110,-4.727,-5.942,-3.878,-1.222,-2.754
4.885,28.082,-4.802,-5.973,-3.861,-1.233,-2.757
4.895,28.055,-4.876,-6.004,-3.843,-1.245,-2.761
4.905,28.026,-4.951,-6.034,-3.824,-1.258,-2.764
4.915,27.997,-5.025,-6.064,-3.805,-1.270,-2.768
4.925,27.968,-5.099,-6.093,-3.786,-1.282,-2.771
4.935,27.938,-5.174,-6.122,-3.767,-1.295,-2.773
4.945,27.908,-5.248,-6.150,-3.747,-1.307,-2.776
4.955,27.877,-5.322,-6.178,-3.727,-1.320,-2.778
4.965,27.845,-5.396,-6.206,-3.707,-1.333,-2.780
4.975,27.813,-5.469,-6.233,-3.686,-1.346,-2.782
4.985,27.781,-5.543,-6.259,-3.665,-1.358,-2.783
4.995,27.748,-5.616,-6.285,-3.645,-1.372,-2.784
5.005,27.714,-5.689,-6.311,-3.623,-1.385,-2.785
5.015,27.680,-5.762,-6.336,-3.602,-1.398,-2.786
5.025,27.645,-5.835,-6.361,-3.581,-1.411,-2.786
5.035,27.609,-5.907,-6.385,-3.560,-1.425,-2.786
5.045,27.573,-5.979,-6.409,-3.538,-1.438,-2.786
5.055,27.537,-6.051,-6.432,-3.517,-1.452,-2.785
5.065,27.499,-6.123,-6.455,-3.495,-1.466,-2.784
5.075,27.462,-6.194,-6.478,-3.474,-1.480,-2.783
5.085,27.423,-6.265,-6.500,-3.452,-1.494,-2.781
5.095,27.384,-6.335,-6.521,-3.431,-1.508,-2.779
5.105,27.344,-6.405,-6.542,-3.410,-1.522,-2.777
5.115,27.304,-6.475,-6.563,-3.388,-1.536,-2.775
5.125,27.263,-6.544,-6.583,-3.367,-1.550,-2.772
5.135,27.221,-6.613,-6.603,-3.346,-1.565,-2.768
5.145,27.179,-6.681,-6.623,-3.325,-1.579,-2.765
5.155,27.136,-6.749,-6.642,-3.305,-1.594,-2.761
5.165,27.092,-6.816,-6.660,-3.284,-1.608,-2.756
5.175,27.048,-6.883,-6.678,-3.264,-1.623,-2.752
5.185,27.003,-6.949,-6.696,-3.244,-1.638,-2.746
5.195,26.957,-7.015,-6.714,-3.225,-1.653,-2.741
5.205,26.911,-7.080,-6.731,-3.205,-1.668,-2.735
5.215,26.864,-7.144,-6.747,-3.186,-1.683,-2.729
5.225,26.816,-7.208,-6.763,-3.168,-1.698,-2.722
5.235,26.768,-7.272,-6.779,-3.149,-1.714,-2.715
5.245,26.719,-7.335,-6.795,-3.131,-1.729,-2.707
5.255,26.669,-7.397,-6.810,-3.114,-1.744,-2.699
5.265,26.619,-7.458,-6.824,-3.096,-1.760,-2.691
5.275,26.568,-7.519,-6.839,-3.080,-1.776,-2.682
5.285,26.516,-7.579,-6.853,-3.063,-1.791,-2.673
5.295,26.463,-7.638,-6.866,-3.047,-1.807,-2.663
5.305,26.410,-7.697,-6.879,-3.032,-1.823,-2.653
5.315,26.356,-7.755,-6.892,-3.017,-1.839,-2.643
5.325,26.302,-7.812,-6.905,-3.003,-1.855,-2.632
5.335,26.247,-7.868,-6.917,-2.989,-1.871,-2.620
5.345,26.191,-7.924,-6.929,-2.976,-1.887,-2.609
5.355,26.134,-7.979,-6.940,-2.963,-1.903,-2.596
5.365,26.077,-8.033,-6.951,-2.951,-1.919,-2.584
5.375,26.019,-8.086,-6.962,-2.939,-1.936,-2.570
5.385,25.960,-8.138,-6.973,-2.928,-1.952,-2.557
5.395,25.900,-8.190,-6.983,-2.918,-1.969,-2.543
5.405,25.840,-8.241,-6.992,-2.908,-1.985,-2.528
5.415,25.779,-8.290,-7.002,-2.899,-2.002,-2.513
5.425,25.718,-8.339,-7.011,-2.891,-2.018,-2.498
5.435,25.656,-8.387,-7.020,-2.883,-2.035,-2.482
5.445,25.593,-8.434,-7.028,-2.876,-2.052,-2.466
5.455,25.529,-8.481,-7.037,-2.870,-2.069,-2.449
5.465,25.465,-8.526,-7.045,-2.864,-2.086,-2.431
5.475,25.400,-8.570,-7.052,-2.859,-2.103,-2.414
5.485,25.334,-8.613,-7.060,-2.855,-2.120,-2.395
5.495,25.268,-8.656,-7.067,-2.851,-2.137,-2.377
5.506,25.201,-8.697,-7.073,-2.848,-2.154,-2.358
5.516,25.133,-8.738,-7.080,-2.846,-2.171,-2.338
5.526,25.064,-8.777,-7.086,-2.845,-2.188,-2.318
5.536,24.995,-8.815,-7.092,-2.844,-2.206,-2.297
5.546,24.926,-8.853,-7.098,-2.844,-2.223,-2.276
5.556,24.855,-8.889,-7.103,-2.845,-2.240,-2.255
5.566,24.784,-8.924,-7.108,-2.847,-2.258,-2.233
5.576,24.712,-8.959,-7.113,-2.850,-2.275,-2.210
5.586,24.640,-8.992,-7.118,-2.853,-2.293,-2.187
5.596,24.567,-9.024,-7.122,-2.857,-2.310,-2.164
5.606,24.493,-9.055,-7.127,-2.862,-2.328,-2.140
5.616,24.419,-9.085,-7.131,-2.867,-2.345,-2.116
5.626,24.344,-9.114,-7.134,-2.873,-2.363,-2.091
5.636,24.268,-9.142,-7.138,-2.881,-2.380,-2.066
5.646,24.192,-9.169,-7.141,-2.888,-2.398,-2.040
5.656,24.115,-9.194,-7.144,-2.897,-2.416,-2.014
5.666,24.037,-9.219,-7.147,-2.907,-2.434,-1.987
5.676,23.959,-9.242,-7.150,-2.917,-2.451,-1.960
5.686,23.881,-9.264,-7.152,-2.928,-2.469,-1.933
5.696,23.801,-9.285,-7.154,-2.939,-2.487,-1.905
5.706,23.721,-9.305,-7.156,-2.952,-2.505,-1.876
5.716,23.641,-9.324,-7.158,-2.965,-2.523,-1.848
5.726,23.560,-9.342,-7.160,-2.979,-2.541,-1.818
5.736,23.478,-9.359,-7.161,-2.994,-2.559,-1.789
5.746,23.396,-9.374,-7.162,-3.009,-2.577,-1.758
5.756,23.313,-9.388,-7.164,-3.026,-2.594,-1.728
5.766,23.230,-9.402,-7.164,-3.043,-2.612,-1.697
5.776,23.146,-9.413,-7.165,-3.060,-2.630,-1.665
5.786,23.061,-9.424,-7.166,-3.079,-2.648,-1.633
5.796,22.977,-9.434,-7.166,-3.098,-2.666,-1.601
5.806,22.891,-9.442,-7.167,-3.117,-2.684,-1.568
5.816,22.805,-9.450,-7.167,-3.138,-2.702,-1.535
5.826,22.719,-9.456,-7.167,-3.159,-2.720,-1.502
5.836,22.632,-9.461,-7.166,-3.181,-2.738,-1.468
5.846,22.544,-9.465,-7.166,-3.203,-2.756,-1.434
5.856,22.456,-9.467,-7.166,-3.226,-2.774,-1.399
5.866,22.368,-9.469,-7.165,-3.250,-2.792,-1.364
5.876,22.279,-9.469,-7.165,-3.274,-2.810,-1.328
5.886,22.190,-9.468,-7.164,-3.299,-2.828,-1.293
5.896,22.100,-9.467,-7.163,-3.324,-2.846,-1.256
5.906,22.010,-9.463,-7.162,-3.350,-2.864,-1.220
5.916,21.919,-9.459,-7.161,-3.377,-2.882,-1.183
5.926,21.828,-9.454,-7.159,-3.404,-2.900,-1.145
5.936,21.737,-9.447,-7.158,-3.431,-2.918,-1.108
5.946,21.645,-9.439,-7.157,-3.459,-2.935,-1.070
5.956,21.553,-9.430,-7.155,-3.488,-2.953,-1.031
5.966,21.460,-9.420,-7.153,-3.517,-2.971,-0.993
5.976,21.367,-9.409,-7.152,-3.546,-2.989,-0.954
5.986,21.274,-9.397,-7.150,-3.576,-3.007,-0.915
5.996,21.181,-9.383,-7.148,-3.606,-3.024,-0.875
6.006,21.087,-9.369,-7.146,-3.637,-3.042,-0.835
6.016,20.992,-9.353,-7.144,-3.668,-3.060,-0.795
6.026,20.898,-9.336,-7.142,-3.699,-3.077,-0.754
6.036,20.803,-9.318,-7.140,-3.731,-3.095,-0.713
6.046,20.708,-9.299,-7.137,-3.763,-3.113,-0.672
6.056,20.613,-9.279,-7.135,-3.795,-3.130,-0.631
6.066,20.517,-9.258,-7.133,-3.828,-3.148,-0.589
6.076,20.421,-9.236,-7.130,-3.860,-3.165,-0.548
6.086,20.325,-9.212,-7.128,-3.893,-3.183,-0.505
6.096,20.229,-9.188,-7.125,-3.927,-3.200,-0.463
6.106,20.133,-9.162,-7.123,-3.960,-3.217,-0.421
6.116,20.036,-9.136,-7.120,-3.994,-3.234,-0.378
6.126,19.939,-9.108,-7.118,-4.027,-3.252,-0.335
6.136,19.842,-9.080,-7.115,-4.061,-3.269,-0.291
6.146,19.745,-9.050,-7.112,-4.095,-3.286,-0.248
6.156,19.648,-9.019,-7.110,-4.129,-3.303,-0.204
6.166,19.550,-8.988,-7.107,-4.163,-3.320,-0.160
6.176,19.453,-8.955,-7.104,-4.197,-3.337,-0.116
6.186,19.355,-8.921,-7.102,-4.231,-3.354,-0.072
6.196,19.258,-8.887,-7.099,-4.265,-3.370,-0.028
6.206,19.160,-8.851,-7.096,-4.299,-3.387,0.017
6.216,19.062,-8.815,-7.093,-4.333,-3.404,0.061
6.226,18.964,-8.777,-7.091,-4.367,-3.420,0.106
6.236,18.867,-8.739,-7.088,-4.400,-3.437,0.151
6.246,18.769,-8.699,-7.085,-4.434,-3.453,0.196
6.256,18.671,-8.659,-7.082,-4.467,-3.470,0.241
6.266,18.573,-8.618,-7.080,-4.500,-3.486,0.286
6.276,18.475,-8.576,-7.077,-4.533,-3.502,0.332
6.286,18.378,-8.533,-7.074,-4.566,-3.518,0.377
6.296,18.280,-8.489,-7.071,-4.598,-3.534,0.423
6.306,18.182,-8.445,-7.069,-4.631,-3.550,0.468
6.316,18.085,-8.399,-7.066,-4.662,-3.566,0.514
6.326,17.988,-8.353,-7.064,-4.694,-3.582,0.560
6.336,17.890,-8.306,-7.061,-4.725,-3.597,0.605
6.346,17.793,-8.258,-7.058,-4.756,-3.613,0.651
6.356,17.696,-8.209,-7.056,-4.786,-3.628,0.697
6.366,17.600,-8.160,-7.053,-4.816,-3.644,0.743
6.376,17.503,-8.110,-7.051,-4.846,-3.659,0.789
6.386,17.407,-8.059,-7.048,-4.875,-3.674,0.834
6.396,17.311,-8.007,-7.046,-4.903,-3.689,0.880
6.406,17.215,-7.955,-7.044,-4.931,-3.704,0.926
6.416,17.119,-7.902,-7.041,-4.959,-3.719,0.972
6.426,17.024,-7.849,-7.039,-4.986,-3.734,1.018
6.436,16.929,-7.794,-7.037,-5.012,-3.749,1.063
6.446,16.834,-7.739,-7.035,-5.038,-3.763,1.109
6.456,16.740,-7.684,-7.033,-5.063,-3.778,1.154
6.466,16.645,-7.628,-7.031,-5.088,-3.792,1.200
6.476,16.552,-7.571,-7.029,-5.112,-3.806,1.245
6.486,16.458,-7.514,-7.027,-5.135,-3.820,1.291
6.496,16.365,-7.456,-7.025,-5.157,-3.834,1.336
6.507,16.273,-7.397,-7.023,-5.179,-3.848,1.381
6.517,16.180,-7.338,-7.021,-5.200,-3.862,1.426
6.527,16.089,-7.279,-7.019,-5.220,-3.875,1.471
6.537,15.997,-7.219,-7.018,-5.240,-3.889,1.515
6.547,15.907,-7.158,-7.016,-5.258,-3.902,1.560
6.557,15.816,-7.097,-7.015,-5.276,-3.915,1.604
6.567,15.726,-7.036,-7.013,-5.293,-3.928,1.649
6.577,15.637,-6.974,-7.012,-5.309,-3.941,1.693
6.587,15.548,-6.912,-7.011,-5.325,-3.954,1.737
6.597,15.460,-6.849,-7.009,-5.339,-3.967,1.780
6.607,15.372,-6.787,-7.008,-5.353,-3.979,1.824
6.617,15.285,-6.723,-7.007,-5.365,-3.992,1.867
6.627,15.199,-6.660,-7.006,-5.377,-4.004,1.910
6.637,15.113,-6.596,-7.005,-5.388,-4.016,1.953
6.647,15.027,-6.531,-7.004,-5.398,-4.028,1.996
6.657,14.943,-6.467,-7.004,-5.407,-4.040,2.038
6.667,14.859,-6.402,-7.003,-5.415,-4.052,2.080
6.677,14.775,-6.337,-7.002,-5.421,-4.063,2.122
6.687,14.693,-6.271,-7.002,-5.427,-4.074,2.164
6.697,14.611,-6.206,-7.001,-5.432,-4.086,2.205
6.707,14.530,-6.140,-7.001,-5.436,-4.097,2.247
6.717,14.450,-6.074,-7.000,-5.439,-4.108,2.287
6.727,14.370,-6.008,-7.000,-5.441,-4.118,2.328
6.737,14.291,-5.942,-7.000,-5.442,-4.129,2.368
6.747,14.213,-5.875,-7.000,-5.441,-4.139,2.408
6.757,14.136,-5.809,-7.000,-5.440,-4.150,2.448
6.767,14.059,-5.742,-7.000,-5.438,-4.160,2.487
6.777,13.984,-5.676,-7.000,-5.434,-4.170,2.526
6.787,13.909,-5.609,-7.000,-5.430,-4.180,2.564
6.797,13.835,-5.542,-7.001,-5.424,-4.189,2.603
6.807,13.763,-5.475,-7.001,-5.417,-4.199,2.641
6.817,13.691,-5.409,-7.002,-5.410,-4.208,2.678
6.827,13.620,-5.342,-7.002,-5.401,-4.217,2.715
6.837,13.549,-5.275,-7.003,-5.391,-4.226,2.752
6.847,13.480,-5.208,-7.004,-5.380,-4.235,2.789
6.857,13.412,-5.141,-7.004,-5.368,-4.244,2.825
6.867,13.345,-5.075,-7.005,-5.354,-4.252,2.860
6.877,13.279,-5.008,-7.006,-5.340,-4.260,2.896
6.887,13.214,-4.942,-7.007,-5.324,-4.268,2.930
6.897,13.150,-4.876,-7.008,-5.308,-4.276,2.965
6.907,13.087,-4.809,-7.009,-5.290,-4.284,2.999
6.917,13.025,-4.743,-7.011,-5.271,-4.292,3.033
6.927,12.964,-4.678,-7.012,-5.252,-4.299,3.066
6.937,12.904,-4.612,-7.013,-5.231,-4.306,3.098
6.947,12.845,-4.547,-7.015,-5.208,-4.313,3.131
6.957,12.788,-4.481,-7.016,-5.185,-4.320,3.163
6.967,12.731,-4.416,-7.018,-5.161,-4.327,3.194
6.977,12.676,-4.352,-7.019,-5.136,-4.333,3.225
6.987,12.622,-4.287,-7.021,-5.110,-4.339,3.256
6.997,12.569,-4.223,-7.023,-5.082,-4.345,3.286
7.007,12.518,-4.159,-7.025,-5.054,-4.351,3.315
7.017,12.467,-4.096,-7.027,-5.024,-4.357,3.344
7.027,12.418,-4.032,-7.028,-4.994,-4.363,3.373
7.037,12.370,-3.969,-7.030,-4.962,-4.368,3.401
7.047,12.324,-3.907,-7.033,-4.930,-4.373,3.429
7.057,12.278,-3.845,-7.035,-4.896,-4.378,3.456
7.067,12.234,-3.783,-7.037,-4.861,-4.383,3.483
7.077,12.192,-3.721,-7.039,-4.826,-4.387,3.509
7.087,12.150,-3.660,-7.041,-4.789,-4.392,3.534
7.097,12.110,-3.600,-7.044,-4.752,-4.396,3.560
7.107,12.072,-3.540,-7.046,-4.714,-4.400,3.584
7.117,12.034,-3.480,-7.048,-4.674,-4.403,3.609
7.127,11.998,-3.421,-7.051,-4.634,-4.407,3.632
7.137,11.964,-3.362,-7.053,-4.593,-4.410,3.655
7.147,11.931,-3.303,-7.056,-4.551,-4.413,3.678
7.157,11.899,-3.246,-7.058,-4.508,-4.416,3.700
7.167,11.869,-3.188,-7.061,-4.464,-4.419,3.722
7.177,11.840,-3.131,-7.063,-4.420,-4.422,3.743
7.187,11.812,-3.075,-7.066,-4.374,-4.424,3.763
7.197,11.786,-3.019,-7.069,-4.328,-4.426,3.783
7.207,11.762,-2.964,-7.071,-4.281,-4.428,3.803
7.217,11.739,-2.909,-7.074,-4.233,-4.430,3.822
7.227,11.718,-2.855,-7.077,-4.185,-4.431,3.840
7.237,11.698,-2.802,-7.079,-4.135,-4.433,3.858
7.247,11.679,-2.749,-7.082,-4.085,-4.434,3.876
7.257,11.663,-2.697,-7.085,-4.035,-4.435,3.893
7.267,11.647,-2.645,-7.088,-3.983,-4.435,3.909
7.277,11.634,-2.594,-7.090,-3.931,-4.436,3.925
7.287,11.621,-2.543,-7.093,-3.879,-4.436,3.940
7.297,11.611,-2.493,-7.096,-3.826,-4.436,3.955
7.307,11.602,-2.444,-7.099,-3.772,-4.436,3.969
7.317,11.595,-2.396,-7.101,-3.718,-4.436,3.982
7.327,11.589,-2.348,-7.104,-3.663,-4.435,3.995
7.337,11.585,-2.300,-7.107,-3.607,-4.434,4.008
7.347,11.583,-2.254,-7.110,-3.551,-4.434,4.020
7.357,11.582,-2.208,-7.112,-3.495,-4.432,4.032
7.367,11.583,-2.162,-7.115,-3.438,-4.431,4.043
7.377,11.585,-2.118,-7.118,-3.381,-4.429,4.053
7.387,11.589,-2.074,-7.120,-3.323,-4.428,4.063
7.397,11.595,-2.031,-7.123,-3.265,-4.426,4.072
7.407,11.603,-1.988,-7.125,-3.207,-4.423,4.081
7.417,11.612,-1.946,-7.128,-3.148,-4.421,4.090
7.427,11.624,-1.905,-7.130,-3.089,-4.418,4.097
7.437,11.636,-1.865,-7.133,-3.030,-4.415,4.105
7.447,11.651,-1.825,-7.135,-2.970,-4.412,4.111
7.457,11.667,-1.786,-7.137,-2.910,-4.409,4.118
7.467,11.685,-1.748,-7.139,-2.850,-4.406,4.123
7.477,11.705,-1.710,-7.142,-2.790,-4.402,4.129
7.487,11.727,-1.674,-7.144,-2.730,-4.398,4.133
7.497,11.750,-1.637,-7.146,-2.669,-4.394,4.138
7.508,11.775,-1.602,-7.148,-2.609,-4.390,4.141
7.518,11.802,-1.567,-7.150,-2.548,-4.385,4.145
7.528,11.831,-1.533,-7.152,-2.487,-4.380,4.147
7.538,11.861,-1.500,-7.153,-2.426,-4.375,4.150
7.548,11.893,-1.468,-7.155,-2.365,-4.370,4.151
7.558,11.927,-1.436,-7.156,-2.305,-4.365,4.152
7.568,11.963,-1.405,-7.158,-2.244,-4.359,4.153
7.578,12.001,-1.375,-7.159,-2.183,-4.354,4.154
7.588,12.041,-1.345,-7.161,-2.123,-4.348,4.153
7.598,12.082,-1.317,-7.162,-2.062,-4.341,4.153
7.608,12.125,-1.288,-7.163,-2.002,-4.335,4.152
7.618,12.170,-1.261,-7.164,-1.942,-4.328,4.150
7.628,12.217,-1.234,-7.164,-1.881,-4.322,4.148
7.638,12.266,-1.208,-7.165,-1.822,-4.315,4.145
7.648,12.317,-1.183,-7.166,-1.762,-4.307,4.143
7.658,12.369,-1.159,-7.166,-1.703,-4.300,4.139
7.668,12.424,-1.135,-7.166,-1.644,-4.292,4.135
7.678,12.480,-1.112,-7.167,-1.585,-4.284,4.131
7.688,12.538,-1.090,-7.167,-1.526,-4.276,4.126
7.698,12.598,-1.068,-7.167,-1.468,-4.268,4.121
7.708,12.660,-1.047,-7.166,-1.411,-4.260,4.116
7.718,12.724,-1.027,-7.166,-1.353,-4.251,4.110
7.728,12.789,-1.007,-7.165,-1.296,-4.242,4.104
7.738,12.857,-0.988,-7.164,-1.240,-4.233,4.097
7.748,12.926,-0.970,-7.164,-1.184,-4.224,4.090
7.758,12.998,-0.952,-7.162,-1.128,-4.215,4.082
7.768,13.071,-0.935,-7.161,-1.073,-4.205,4.074
7.778,13.146,-0.919,-7.160,-1.019,-4.195,4.066
7.788,13.223,-0.904,-7.158,-0.964,-4.185,4.057
7.798,13.302,-0.889,-7.156,-0.911,-4.175,4.048
7.808,13.382,-0.874,-7.154,-0.858,-4.164,4.039
7.818,13.465,-0.860,-7.152,-0.806,-4.154,4.029
7.828,13.550,-0.847,-7.150,-0.754,-4.143,4.019
7.838,13.636,-0.835,-7.147,-0.703,-4.132,4.009
7.848,13.724,-0.823,-7.144,-0.652,-4.121,3.998
7.858,13.814,-0.812,-7.141,-0.603,-4.109,3.987
7.868,13.907,-0.801,-7.138,-0.553,-4.098,3.976
7.878,14.001,-0.791,-7.134,-0.505,-4.086,3.964
7.888,14.096,-0.781,-7.131,-0.457,-4.074,3.952
7.898,14.194,-0.772,-7.127,-0.410,-4.062,3.940
7.908,14.294,-0.764,-7.123,-0.364,-4.050,3.928
7.918,14.395,-0.756,-7.118,-0.318,-4.037,3.915
7.928,14.499,-0.749,-7.114,-0.274,-4.025,3.902
7.938,14.604,-0.742,-7.109,-0.230,-4.012,3.888
7.948,14.711,-0.735,-7.103,-0.186,-3.999,3.875
7.958,14.820,-0.730,-7.098,-0.144,-3.986,3.861
7.968,14.931,-0.724,-7.092,-0.102,-3.972,3.847
7.978,15.044,-0.719,-7.086,-0.061,-3.959,3.833
7.988,15.158,-0.715,-7.080,-0.021,-3.945,3.818
7.998,15.275,-0.711,-7.074,0.018,-3.931,3.803
8.008,15.393,-0.707,-7.067,0.056,-3.917,3.788
8.018,15.513,-0.704,-7.060,0.093,-3.903,3.773
8.028,15.635,-0.702,-7.053,0.130,-3.888,3.758
8.038,15.759,-0.699,-7.045,0.166,-3.874,3.742
8.048,15.884,-0.697,-7.037,0.201,-3.859,3.726
8.058,16.012,-0.696,-7.029,0.235,-3.844,3.710
8.068,16.141,-0.695,-7.020,0.268,-3.829,3.694
8.078,16.272,-0.694,-7.011,0.300,-3.813,3.678
8.088,16.405,-0.693,-7.002,0.331,-3.798,3.662
8.098,16.540,-0.693,-6.993,0.361,-3.782,3.645
8.108,16.676,-0.693,-6.983,0.391,-3.767,3.629
8.118,16.814,-0.694,-6.973,0.420,-3.751,3.612
8.128,16.954,-0.695,-6.963,0.447,-3.735,3.595
8.138,17.096,-0.696,-6.952,0.474,-3.719,3.578
8.148,17.240,-0.697,-6.941,0.500,-3.702,3.561
8.158,17.385,-0.698,-6.929,0.525,-3.686,3.543
8.168,17.532,-0.700,-6.918,0.549,-3.669,3.526
8.178,17.681,-0.702,-6.905,0.572,-3.652,3.509
8.188,17.831,-0.704,-6.893,0.594,-3.635,3.491
8.198,17.984,-0.707,-6.880,0.616,-3.618,3.474
8.208,18.138,-0.709,-6.867,0.636,-3.601,3.456
8.218,18.293,-0.712,-6.853,0.655,-3.583,3.439
8.228,18.451,-0.715,-6.839,0.674,-3.566,3.421
8.238,18.610,-0.717,-6.825,0.692,-3.548,3.403
8.248,18.770,-0.721,-6.810,0.709,-3.530,3.385
8.258,18.933,-0.724,-6.795,0.725,-3.512,3.368
8.268,19.097,-0.727,-6.780,0.740,-3.494,3.350
8.278,19.262,-0.730,-6.764,0.754,-3.476,3.332
8.288,19.429,-0.734,-6.748,0.768,-3.458,3.314
8.298,19.598,-0.737,-6.731,0.780,-3.439,3.297
8.308,19.769,-0.740,-6.714,0.792,-3.421,3.279
8.318,19.941,-0.744,-6.697,0.803,-3.402,3.261
8.328,20.115,-0.747,-6.679,0.813,-3.383,3.244
8.338,20.290,-0.751,-6.661,0.822,-3.364,3.226
8.348,20.467,-0.754,-6.642,0.831,-3.345,3.208
8.358,20.645,-0.757,-6.623,0.838,-3.326,3.191
8.368,20.825,-0.761,-6.604,0.845,-3.306,3.173
8.378,21.006,-0.764,-6.584,0.851,-3.287,3.156
8.388,21.189,-0.767,-6.564,0.857,-3.267,3.139
8.398,21.373,-0.770,-6.543,0.861,-3.248,3.121
8.408,21.559,-0.773,-6.522,0.865,-3.228,3.104
8.418,21.746,-0.775,-6.500,0.869,-3.208,3.087
8.428,21.935,-0.778,-6.478,0.871,-3.188,3.070
8.438,22.125,-0.780,-6.456,0.873,-3.168,3.053
8.448,22.317,-0.782,-6.433,0.874,-3.147,3.037
8.458,22.510,-0.784,-6.410,0.875,-3.127,3.020
8.468,22.704,-0.786,-6.386,0.875,-3.107,3.004
8.478,22.900,-0.787,-6.362,0.874,-3.086,2.987
8.488,23.097,-0.789,-6.337,0.873,-3.066,2.971
8.498,23.296,-0.790,-6.312,0.871,-3.045,2.955
8.509,23.495,-0.790,-6.287,0.868,-3.024,2.939
8.519,23.697,-0.791,-6.260,0.865,-3.003,2.923
8.529,23.899,-0.791,-6.234,0.862,-2.982,2.908
8.539,24.103,-0.791,-6.207,0.858,-2.961,2.892
8.549,24.308,-0.790,-6.180,0.854,-2.940,2.877
8.559,24.514,-0.790,-6.152,0.849,-2.919,2.862
8.569,24.721,-0.788,-6.123,0.843,-2.898,2.847
8.579,24.930,-0.787,-6.094,0.837,-2.876,2.832
8.589,25.140,-0.785,-6.065,0.831,-2.855,2.818
8.599,25.351,-0.783,-6.035,0.825,-2.833,2.803
8.609,25.563,-0.780,-6.005,0.818,-2.812,2.789
8.619,25.776,-0.777,-5.974,0.810,-2.790,2.775
8.629,25.991,-0.773,-5.943,0.803,-2.768,2.762
8.639,26.207,-0.769,-5.911,0.795,-2.747,2.748
8.649,26.423,-0.764,-5.879,0.787,-2.725,2.735
8.659,26.641,-0.759,-5.846,0.778,-2.703,2.722
8.669,26.860,-0.754,-5.813,0.769,-2.681,2.709
8.679,27.080,-0.748,-5.779,0.760,-2.659,2.696
8.689,27.301,-0.741,-5.745,0.751,-2.637,2.684
8.699,27.522,-0.734,-5.710,0.742,-2.615,2.672
8.709,27.745,-0.727,-5.675,0.733,-2.592,2.660
8.719,27.969,-0.719,-5.639,0.723,-2.570,2.649
8.729,28.194,-0.710,-5.603,0.714,-2.548,2.637
8.739,28.419,-0.701,-5.567,0.704,-2.526,2.626
8.749,28.646,-0.691,-5.529,0.694,-2.503,2.615
8.759,28.873,-0.681,-5.492,0.684,-2.481,2.605
8.769,29.102,-0.670,-5.453,0.675,-2.458,2.594
8.779,29.331,-0.658,-5.415,0.665,-2.436,2.584
8.789,29.561,-0.646,-5.375,0.655,-2.413,2.574
8.799,29.792,-0.633,-5.336,0.645,-2.391,2.565
8.809,30.023,-0.620,-5.295,0.636,-2.368,2.556
8.819,30.256,-0.606,-5.255,0.626,-2.346,2.546
8.829,30.489,-0.591,-5.213,0.617,-2.323,2.538
8.839,30.722,-0.576,-5.171,0.608,-2.300,2.529
8.849,30.957,-0.560,-5.129,0.599,-2.278,2.521
8.859,31.192,-0.543,-5.086,0.590,-2.255,2.513
8.869,31.428,-0.525,-5.043,0.581,-2.232,2.506
8.879,31.664,-0.507,-4.999,0.573,-2.210,2.498
8.889,31.901,-0.488,-4.955,0.565,-2.187,2.491
8.899,32.139,-0.469,-4.910,0.557,-2.164,2.484
8.909,32.377,-0.449,-4.864,0.549,-2.141,2.478
8.919,32.616,-0.428,-4.818,0.542,-2.119,2.472
8.929,32.855,-0.406,-4.772,0.535,-2.096,2.466
8.939,33.095,-0.384,-4.725,0.529,-2.073,2.460
8.949,33.336,-0.361,-4.678,0.523,-2.050,2.455
8.959,33.576,-0.337,-4.630,0.517,-2.028,2.449
8.969,33.818,-0.312,-4.581,0.512,-2.005,2.445
8.979,34.059,-0.287,-4.532,0.507,-1.982,2.440
8.989,34.301,-0.261,-4.483,0.503,-1.959,2.436
8.999,34.544,-0.234,-4.432,0.499,-1.937,2.432
9.009,34.786,-0.206,-4.382,0.495,-1.914,2.428
9.019,35.029,-0.178,-4.331,0.492,-1.891,2.425
9.029,35.273,-0.149,-4.279,0.490,-1.869,2.422
